"sa2_code_2011","sa2_name_2011","sa2_code_2021","sa2_name_2021","weight_norm_from_2011","weight_percent_from_2011","lga_code_2021","lga_name_2021","nsw_lhd_name"
124011451,"Blue Mountains - North","124011451","Blue Mountains - North",1,"100.0%",10900,"Blue Mountains","Nepean Blue Mountains"
124021456,"Blue Mountains - South","124021456","Blue Mountains - South",1,"100.0%",18400,"Wollondilly","South Western Sydney"
111021215,"Bolton Point - Teralba","111021215","Bolton Point - Teralba",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
101031013,"Bombala","101031013","Bombala",1,"100.0%",17040,"Snowy Monaro Regional","Southern NSW"
118011339,"Bondi - Tamarama - Bronte","118011339","Bondi - Tamarama - Bronte",1,"100.0%",18050,"Waverley","South Eastern Sydney"
118011340,"Bondi Beach - North Bondi","118011340","Bondi Beach - North Bondi",1,"100.0%",18050,"Waverley","South Eastern Sydney"
118011341,"Bondi Junction - Waverly","118011341","Bondi Junction - Waverly",1,"100.0%",18050,"Waverley","South Eastern Sydney"
111021216,"Bonnells Bay - Silverwater","111021216","Bonnells Bay - Silverwater",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
127021509,"Bonnyrigg Heights - Bonnyrigg","127021509","Bonnyrigg Heights - Bonnyrigg",1,"100.0%",12850,"Fairfield","South Western Sydney"
127021510,"Bossley Park - Abbotsbury","127021510","Bossley Park - Abbotsbury",1,"100.0%",12850,"Fairfield","South Western Sydney"
117011321,"Botany","117011321","Botany",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
105011092,"Bourke - Brewarrina","105011092","Bourke - Brewarrina",1,"100.0%",11150,"Bourke","Western NSW"
114021284,"Bowral","114021284","Bowral",1,"100.0%",18350,"Wingecarribee","South Western Sydney"
102011029,"Box Head - MacMasters Beach","102011029","Box Head - MacMasters Beach",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
123021436,"Bradbury - Wedderburn","123021436","Bradbury - Wedderburn",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
101021007,"Braidwood","101021007","Braidwood",1,"100.0%",16490,"Queanbeyan-Palerang Regional","Southern NSW"
106011107,"Branxton - Greta - Pokolbin","106011107","Branxton - Greta - Pokolbin",1,"100.0%",11720,"Cessnock","Hunter New England"
105021097,"Broken Hill","105021097","Broken Hill",1,"100.0%",11250,"Broken Hill","Far West"
101041021,"Broulee - Tomakin","101041021","Broulee - Tomakin",1,"100.0%",12750,"Eurobodalla","Southern NSW"
112011239,"Brunswick Heads - Ocean Shores","112011239","Brunswick Heads - Ocean Shores",1,"100.0%",11350,"Byron","Northern NSW"
102021046,"Budgewoi - Buff Point - Halekulani","102021046","Budgewoi - Buff Point - Halekulani",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
108011151,"Bulahdelah - Stroud","108011151","Bulahdelah - Stroud",1,"100.0%",15240,"Mid-Coast","Hunter New England"
120031391,"Burwood - Croydon","120031678","Burwood (NSW)",0.5493864,"54.9%",11300,"Burwood","Sydney"
120031391,"Burwood - Croydon","120031679","Croydon",0.4506136,"45.1%",11300,"Burwood","Sydney"
112011240,"Byron Bay","112011240","Byron Bay",1,"100.0%",11350,"Byron","Northern NSW"
127021511,"Cabramatta - Lansvale","127021511","Cabramatta - Lansvale",1,"100.0%",12850,"Fairfield","South Western Sydney"
127021512,"Cabramatta West - Mount Pritchard","127021512","Cabramatta West - Mount Pritchard",1,"100.0%",12850,"Fairfield","South Western Sydney"
102011030,"Calga - Kulnura","102011030","Calga - Kulnura",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
114011273,"Callala Bay - Currarong","114011273","Callala Bay - Currarong",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
124031457,"Cambridge Park","124031457","Cambridge Park",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
123011433,"Camden - Ellis Lane","123011433","Camden - Ellis Lane",1,"100.0%",11450,"Camden","South Western Sydney"
123021437,"Campbelltown - Woodbine","123021437","Campbelltown - Woodbine",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
127021513,"Canley Vale - Canley Heights","127021513","Canley Vale - Canley Heights",1,"100.0%",12850,"Fairfield","South Western Sydney"
120031392,"Canterbury (North) - Ashbury","120031392","Canterbury (North) - Ashbury",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
119021363,"Canterbury (South) - Campsie","119021659","Campsie - North",0.400700640070064,"40.1%",11570,"Canterbury-Bankstown","Sydney"
119021363,"Canterbury (South) - Campsie","119021661","Canterbury - South",0.306234330623433,"30.6%",11570,"Canterbury-Bankstown","Sydney"
119021363,"Canterbury (South) - Campsie","119021660","Campsie - South",0.293065029306503,"29.3%",11570,"Canterbury-Bankstown","Sydney"
128011527,"Caringbah - Lilli Pilli","128011603","Caringbah South",0.452987254701274,"45.3%",17150,"Sutherland Shire","South Eastern Sydney"
128011527,"Caringbah - Lilli Pilli","128011602","Caringbah",0.427696657230334,"42.8%",17150,"Sutherland Shire","South Eastern Sydney"
128011527,"Caringbah - Lilli Pilli","128011605","Lilli Pilli - Port Hacking - Dolans Bay",0.119316088068391,"11.9%",17150,"Sutherland Shire","South Eastern Sydney"
125021476,"Carlingford","125021712","Carlingford - West",0.5964305,"59.6%",16260,"Parramatta","Western Sydney"
125021476,"Carlingford","125021711","Carlingford - East",0.4035695,"40.4%",16260,"Parramatta","Northern Sydney"
112021244,"Casino","112021244","Casino",1,"100.0%",16610,"Richmond Valley","Northern NSW"
112021245,"Casino Region","112021245","Casino Surrounds",0.9995808,"100.0%",16610,"Richmond Valley","Northern NSW"
112021245,"Casino Region","112021244","Casino",0.0004192,"0.0%",16610,"Richmond Valley","Northern NSW"
115011292,"Castle Hill","115011555","Castle Hill - North",0.4140354,"41.4%",17420,"The Hills Shire","Western Sydney"
115011292,"Castle Hill","115011556","Castle Hill - South",0.3232816,"32.3%",17420,"The Hills Shire","Western Sydney"
115011292,"Castle Hill","115011553","Castle Hill - Central",0.262683,"26.3%",17420,"The Hills Shire","Western Sydney"
124031458,"Castlereagh - Cranebrook","124031707","Cranebrook - Castlereagh",0.7135297,"71.4%",16350,"Penrith","Nepean Blue Mountains"
124031458,"Castlereagh - Cranebrook","124031708","Jordan Springs - Llandilo",0.2864703,"28.6%",16350,"Penrith","Nepean Blue Mountains"
127031522,"Casula","127031522","Casula",1,"100.0%",14900,"Liverpool","South Western Sydney"
118011342,"Centennial Park","118011342","Centennial Park",1,"100.0%",16550,"Randwick","South Eastern Sydney"
106011108,"Cessnock","106011108","Cessnock",1,"100.0%",11720,"Cessnock","Hunter New England"
106011109,"Cessnock Region","106011109","Cessnock Surrounds",1,"100.0%",11720,"Cessnock","Hunter New England"
111011208,"Charlestown - Dudley","111011208","Charlestown - Dudley",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
121011398,"Chatswood (East) - Artarmon","121011684","Chatswood - East",0.6679489,"66.8%",18250,"Willoughby","Northern Sydney"
121011398,"Chatswood (East) - Artarmon","121011682","Artarmon",0.3320511,"33.2%",18250,"Willoughby","Northern Sydney"
121011399,"Chatswood (West) - Lane Cove North","121011399","Chatswood (West) - Lane Cove North",1,"100.0%",18250,"Willoughby","Northern Sydney"
115011293,"Cherrybrook","115011558","Cherrybrook",0.7710092,"77.1%",14000,"Hornsby","Northern Sydney"
115011293,"Cherrybrook","115011554","Castle Hill - East",0.2289908,"22.9%",14000,"Hornsby","Northern Sydney"
125031479,"Chester Hill - Sefton","125031479","Chester Hill - Sefton",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
127031523,"Chipping Norton - Moorebank","127031523","Chipping Norton - Moorebank",1,"100.0%",14900,"Liverpool","South Western Sydney"
102021047,"Chittaway Bay - Tumbi Umbi","102021047","Chittaway Bay - Tumbi Umbi",0.9934181,"99.3%",11650,"Central Coast (NSW)","Central Coast"
102021047,"Chittaway Bay - Tumbi Umbi","102021055","Tuggerah - Kangy Angy",0.0065819,"0.7%",11650,"Central Coast (NSW)","Central Coast"
119011355,"Chullora","119011355","Chullora",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
123021438,"Claymore - Eagle Vale - Raby","123021438","Claymore - Eagle Vale - Raby",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
105011093,"Cobar","105011093","Cobar",1,"100.0%",11750,"Cobar","Western NSW"
127011506,"Cobbitty - Leppington","127011728","Leppington - Catherine Field",0.31999853208303,"32.0%",11450,"Camden","South Western Sydney"
127011506,"Cobbitty - Leppington","127011727","Gledswood Hills - Gregory Hills",0.26723767945683,"26.7%",11450,"Camden","South Western Sydney"
127011506,"Cobbitty - Leppington","127011729","Oran Park",0.26681564850753,"26.7%",11450,"Camden","South Western Sydney"
127011506,"Cobbitty - Leppington","127011726","Cobbitty - Bringelly",0.14339813489934,"14.3%",11450,"Camden","South Western Sydney"
127011506,"Cobbitty - Leppington","127011505","Austral - Greendale",0.0022909,"0.2%",14900,"Liverpool","South Western Sydney"
127011506,"Cobbitty - Leppington","123021703","Denham Court - Bardia",0.00025910505327,"0.0%",11500,"Campbelltown (NSW)","South Western Sydney"
104021084,"Coffs Harbour - North","104021084","Coffs Harbour - North",1,"100.0%",11800,"Coffs Harbour","Mid North Coast"
104021085,"Coffs Harbour - South","104021085","Coffs Harbour - South",1,"100.0%",11800,"Coffs Harbour","Mid North Coast"
120011383,"Concord - Mortlake - Cabarita","120011383","Concord - Mortlake - Cabarita",1,"100.0%",11520,"Canada Bay","Sydney"
120011384,"Concord West - North Strathfield","120011672","Concord West - North Strathfield",0.5057513,"50.6%",11520,"Canada Bay","Sydney"
120011384,"Concord West - North Strathfield","120011673","Rhodes",0.4942487,"49.4%",11520,"Canada Bay","Sydney"
119011356,"Condell Park","119011356","Condell Park",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
103021062,"Condobolin","103021062","Condobolin",1,"100.0%",14600,"Lachlan","Western NSW"
118021348,"Coogee - Clovelly","118021651","Coogee - Clovelly",0.7836822,"78.4%",16550,"Randwick","South Eastern Sydney"
118021348,"Coogee - Clovelly","118021654","South Coogee",0.2163178,"21.6%",16550,"Randwick","South Eastern Sydney"
101031014,"Cooma","101031014","Cooma",1,"100.0%",17040,"Snowy Monaro Regional","Southern NSW"
101031015,"Cooma Region","101031015","Cooma Surrounds",1,"100.0%",17040,"Snowy Monaro Regional","Southern NSW"
105031099,"Coonabarabran","105031099","Coonabarabran",1,"100.0%",18020,"Warrumbungle Shire","Western NSW"
105011094,"Coonamble","105011094","Coonamble",1,"100.0%",12150,"Coonamble","Western NSW"
113031263,"Cootamundra","113031263","Cootamundra",1,"100.0%",12160,"Cootamundra-Gundagai Regional","Murrumbidgee"
104021086,"Coramba - Nana Glen - Bucca","104021086","Coramba - Nana Glen - Bucca",1,"100.0%",11800,"Coffs Harbour","Mid North Coast"
109031180,"Corowa","109031180","Corowa",1,"100.0%",12870,"Federation","Murrumbidgee"
109031181,"Corowa Region","109031181","Corowa Surrounds",1,"100.0%",12870,"Federation","Murrumbidgee"
107041145,"Corrimal - Tarrawanna - Bellambi","107041145","Corrimal - Tarrawanna - Bellambi",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
103021063,"Cowra","103021063","Cowra",1,"100.0%",12350,"Cowra","Western NSW"
103021064,"Cowra Region","103021064","Cowra Surrounds",1,"100.0%",12350,"Cowra","Western NSW"
121041413,"Cremorne - Cammeray","121041413","Cremorne - Cammeray",0.9977561,"99.8%",15950,"North Sydney","Northern Sydney"
121041413,"Cremorne - Cammeray","121041416","Neutral Bay - Kirribilli",0.0022439,"0.2%",15950,"North Sydney","Northern Sydney"
122031425,"Cromer","122031425","Cromer",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
128011528,"Cronulla - Kurnell - Bundeena","128011604","Cronulla - Kurnell - Bundeena",0.7424978,"74.2%",17150,"Sutherland Shire","South Eastern Sydney"
128011528,"Cronulla - Kurnell - Bundeena","128011606","Woolooware - Burraneer",0.2575022,"25.8%",17150,"Sutherland Shire","South Eastern Sydney"
121041414,"Crows Nest - Waverton","121041414","Crows Nest - Waverton",1,"100.0%",15950,"North Sydney","Northern Sydney"
120031393,"Croydon Park - Enfield","120031393","Croydon Park - Enfield",1,"100.0%",11300,"Burwood","Sydney"
114011274,"Culburra Beach","114011274","Culburra Beach",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
107011131,"Dapto - Avondale","107011131","Dapto - Avondale",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
117031329,"Darlinghurst","117031329","Darlinghurst",1,"100.0%",17200,"Sydney","South Eastern Sydney"
122031426,"Dee Why - North Curl Curl","122031695","Dee Why - North",0.6462574,"64.6%",15990,"Northern Beaches","Northern Sydney"
122031426,"Dee Why - North Curl Curl","122031694","Dee Why (South) - North Curl Curl",0.3537426,"35.4%",15990,"Northern Beaches","Northern Sydney"
109031182,"Deniliquin","109031182","Deniliquin",1,"100.0%",12730,"Edward River","Murrumbidgee"
109031183,"Deniliquin Region","109031183","Deniliquin Surrounds",1,"100.0%",15520,"Murray River","Murrumbidgee"
101041022,"Deua - Wadbilliga","101041022","Deua - Wadbilliga",1,"100.0%",12750,"Eurobodalla","Southern NSW"
116011306,"Doonside - Woodcroft","116011306","Doonside - Woodcroft",1,"100.0%",10750,"Blacktown","Western Sydney"
104021087,"Dorrigo","104021087","Dorrigo",1,"100.0%",11730,"Clarence Valley","Northern NSW"
118011343,"Double Bay - Bellevue Hill","118011649","Bellevue Hill",0.5869197,"58.7%",18500,"Woollahra","South Eastern Sydney"
118011343,"Double Bay - Bellevue Hill","118011650","Double Bay - Darling Point",0.4130803,"41.3%",18500,"Woollahra","South Eastern Sydney"
123031446,"Douglas Park - Appin","123031446","Douglas Park - Appin",1,"100.0%",18400,"Wollondilly","South Western Sydney"
118011344,"Dover Heights","118011344","Dover Heights",1,"100.0%",18050,"Waverley","South Eastern Sydney"
120011385,"Drummoyne - Rodd Point","120011385","Drummoyne - Rodd Point",1,"100.0%",11520,"Canada Bay","Sydney"
105031100,"Dubbo - East","105031100","Dubbo - East",1,"100.0%",12390,"Dubbo Regional","Western NSW"
105031101,"Dubbo - South","105031101","Dubbo - South",1,"100.0%",12390,"Dubbo Regional","Western NSW"
105031102,"Dubbo - West","105031102","Dubbo - West",1,"100.0%",12390,"Dubbo Regional","Western NSW"
105031103,"Dubbo Region","105031103","Dubbo Surrounds",1,"100.0%",12390,"Dubbo Regional","Western NSW"
120031394,"Dulwich Hill - Lewisham","120031394","Dulwich Hill - Lewisham",1,"100.0%",14170,"Inner West","Sydney"
106011110,"Dungog","106011110","Dungog",1,"100.0%",12700,"Dungog","Hunter New England"
115021297,"Dural - Kenthurst - Wisemans Ferry","115021297","Dural - Kenthurst - Wisemans Ferry",1,"100.0%",17420,"The Hills Shire","Western Sydney"
126021497,"Eastwood - Denistone","126021723","Eastwood",0.7232596,"72.3%",16700,"Ryde","Northern Sydney"
126021497,"Eastwood - Denistone","126021722","Denistone",0.2767404,"27.7%",16700,"Ryde","Northern Sydney"
101041023,"Eden","101041023","Eden",1,"100.0%",10550,"Bega Valley","Southern NSW"
127021514,"Edensor Park","127021514","Edensor Park",1,"100.0%",12850,"Fairfield","South Western Sydney"
111021217,"Edgeworth - Cameron Park","111021217","Edgeworth - Cameron Park",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
123011434,"Elderslie - Harrington Park","123011700","Harrington Park",0.5011582,"50.1%",11450,"Camden","South Western Sydney"
123011434,"Elderslie - Harrington Park","123011699","Elderslie - Narellan",0.4988418,"49.9%",11450,"Camden","South Western Sydney"
124031459,"Emu Plains - Leonay","124031459","Emu Plains - Leonay",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
128021532,"Engadine - Loftus","128021607","Engadine",0.6007282,"60.1%",17150,"Sutherland Shire","South Eastern Sydney"
128021532,"Engadine - Loftus","128021608","Loftus - Yarrawarrah",0.2598348,"26.0%",17150,"Sutherland Shire","South Eastern Sydney"
128021532,"Engadine - Loftus","128021609","Woronora Heights",0.139437,"13.9%",17150,"Sutherland Shire","South Eastern Sydney"
126011495,"Epping - North Epping","126011721","Epping (NSW) - West",0.6056068,"60.6%",16260,"Parramatta","Northern Sydney"
126011495,"Epping - North Epping","126011720","Epping (East) - North Epping",0.3943932,"39.4%",14000,"Hornsby","Northern Sydney"
102011031,"Erina - Green Point","102011031","Erina - Green Point",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
125021477,"Ermington - Rydalmere","125021477","Ermington - Rydalmere",1,"100.0%",16260,"Parramatta","Western Sydney"
124051469,"Erskine Park","124051469","Erskine Park",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
117031330,"Erskineville - Alexandria","117031330","Erskineville - Alexandria",1,"100.0%",17200,"Sydney","Sydney"
114011275,"Ettrema - Sassafras - Budawang","114011275","Ettrema - Sassafras - Budawang",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
101041024,"Eurobodalla Hinterland","101041024","Eurobodalla Hinterland",1,"100.0%",12750,"Eurobodalla","Southern NSW"
112011241,"Evans Head","112011241","Evans Head",1,"100.0%",16610,"Richmond Valley","Northern NSW"
127021515,"Fairfield","127021515","Fairfield",1,"100.0%",12850,"Fairfield","South Western Sydney"
125031480,"Fairfield - East","125031480","Fairfield - East",1,"100.0%",12850,"Fairfield","South Western Sydney"
127021516,"Fairfield - West","127021516","Fairfield - West",1,"100.0%",12850,"Fairfield","South Western Sydney"
105021098,"Far West","105021098","Far West",1,"100.0%",19399,"Unincorporated NSW","Far West"
107041146,"Figtree - Keiraville","107041146","Figtree - Keiraville",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
120011386,"Five Dock - Abbotsford","120011386","Five Dock - Abbotsford",1,"100.0%",11520,"Canada Bay","Sydney"
103021065,"Forbes","103021065","Forbes",1,"100.0%",12900,"Forbes","Western NSW"
122031427,"Forestville - Killarney Heights","122031427","Forestville - Killarney Heights",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
108011152,"Forster","108011152","Forster",1,"100.0%",15240,"Mid-Coast","Hunter New England"
108011153,"Forster-Tuncurry Region","108011153","Forster-Tuncurry Surrounds",1,"100.0%",15240,"Mid-Coast","Hunter New England"
122031428,"Frenchs Forest - Belrose","122031696","Frenchs Forest - Oxford Falls",0.6564086,"65.6%",15990,"Northern Beaches","Northern Sydney"
122031428,"Frenchs Forest - Belrose","122031692","Belrose",0.3435914,"34.4%",15990,"Northern Beaches","Northern Sydney"
122031429,"Freshwater - Brookvale","122031429","Freshwater - Brookvale",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
115021298,"Galston - Laughtondale","115021298","Galston - Laughtondale",1,"100.0%",14000,"Hornsby","Northern Sydney"
