"sa2_code_2021","sa2_name_2021","sa2_code_2011","sa2_name_2011","weight_norm_to_2021","weight_percent_to_2021","lga_code_2021","lga_name_2021","nsw_lhd_name"
"103011612","Bathurst - South",103011058,"Bathurst",1,"100.0%",10470,"Bathurst Regional","Western NSW"
"103011613","Bathurst - West",103011058,"Bathurst",1,"100.0%",10470,"Bathurst Regional","Western NSW"
"103011060","Bathurst Surrounds",103011060,"Bathurst Region",1,"100.0%",10470,"Bathurst Regional","Western NSW"
"115011291","Baulkham Hills (West) - Bella Vista",115011291,"Baulkham Hills (West) - Bella Vista",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"115011290","Baulkham Hills - East",115011290,"Baulkham Hills (East)",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"122021421","Bayview - Elanora Heights",122021421,"Bayview - Elanora Heights",0.998537342500705,"99.9%",15990,"Northern Beaches","Northern Sydney"
"122021421","Bayview - Elanora Heights",122021423,"Warriewood - Mona Vale",0.00146265749929503,"0.1%",15990,"Northern Beaches","Northern Sydney"
"122031424","Beacon Hill - Narraweena",122031424,"Beacon Hill - Narraweena",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"101041019","Bega - Tathra",101041019,"Bega - Tathra",1,"100.0%",10550,"Bega Valley","Southern NSW"
"101041020","Bega-Eden Hinterland",101041020,"Bega-Eden Hinterland",1,"100.0%",10550,"Bega Valley","Southern NSW"
"118011649","Bellevue Hill",118011343,"Double Bay - Bellevue Hill",1,"100.0%",18500,"Woollahra","South Eastern Sydney"
"104021083","Bellingen",104021083,"Bellingen",1,"100.0%",10600,"Bellingen","Mid North Coast"
"111011206","Belmont - Bennetts Green",111011206,"Belmont - Bennetts Green",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
"111011207","Belmont South - Blacksmiths",111011207,"Belmont South - Blacksmiths",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
"119021362","Belmore - Belfield",119021362,"Belmore - Belfield",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
"122031692","Belrose",122031428,"Frenchs Forest - Belrose",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"125011585","Berala",125011474,"Lidcombe - Regents Park",1,"100.0%",12380,"Cumberland","Western Sydney"
"111031223","Beresfield - Hexham",111031223,"Beresfield - Hexham",1,"100.0%",15900,"Newcastle","Hunter New England"
"107011545","Berkeley - Lake Heights - Cringila",107011130,"Berkeley - Warrawong - Windang",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
"121021404","Berowra - Brooklyn - Cowan",121021404,"Berowra - Brooklyn - Cowan",1,"100.0%",14000,"Hornsby","Northern Sydney"
"114011272","Berry - Kangaroo Valley",114011272,"Berry - Kangaroo Valley",0.999460591118973,"99.9%",16950,"Shoalhaven","Illawarra Shoalhaven"
"114011272","Berry - Kangaroo Valley",114011277,"North Nowra - Bomaderry",0.00053940888102691,"0.1%",16950,"Shoalhaven","Illawarra Shoalhaven"
"119041669","Bexley - North",119041376,"Bexley",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"119041670","Bexley - South",119041376,"Bexley",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"116031313","Bidwill - Hebersham - Emerton",116031313,"Bidwill - Hebersham - Emerton",1,"100.0%",10750,"Blacktown","Western Sydney"
"115031299","Bilpin - Colo - St Albans",115031299,"Bilpin - Colo - St Albans",1,"100.0%",13800,"Hawkesbury","Nepean Blue Mountains"
"124011449","Blackheath - Megalong Valley",124011449,"Blackheath - Megalong Valley",1,"100.0%",10900,"Blue Mountains","Nepean Blue Mountains"
"116011303","Blacktown (East) - Kings Park",116011303,"Blacktown (East) - Kings Park",1,"100.0%",10750,"Blacktown","Western Sydney"
"116011304","Blacktown (North) - Marayong",116011304,"Blacktown (North) - Marayong",1,"100.0%",10750,"Blacktown","Western Sydney"
"116011560","Blacktown - South",116011305,"Blacktown (South)",1,"100.0%",10750,"Blacktown","Western Sydney"
"116011561","Blacktown - West",116011305,"Blacktown (South)",1,"100.0%",10750,"Blacktown","Western Sydney"
"124011450","Blaxland - Warrimoo - Lapstone",124011450,"Blaxland - Warrimoo - Lapstone",1,"100.0%",10900,"Blue Mountains","Nepean Blue Mountains"
"103041076","Blayney",103041076,"Blayney",1,"100.0%",10850,"Blayney","Western NSW"
"102021045","Blue Haven - San Remo",102021045,"Blue Haven - San Remo",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"124011451","Blue Mountains - North",124011451,"Blue Mountains - North",1,"100.0%",10900,"Blue Mountains","Nepean Blue Mountains"
"124021456","Blue Mountains - South",124021456,"Blue Mountains - South",1,"100.0%",18400,"Wollondilly","South Western Sydney"
"111021215","Bolton Point - Teralba",111021215,"Bolton Point - Teralba",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
"101031013","Bombala",101031013,"Bombala",1,"100.0%",17040,"Snowy Monaro Regional","Southern NSW"
"118011339","Bondi - Tamarama - Bronte",118011339,"Bondi - Tamarama - Bronte",1,"100.0%",18050,"Waverley","South Eastern Sydney"
"118011340","Bondi Beach - North Bondi",118011340,"Bondi Beach - North Bondi",1,"100.0%",18050,"Waverley","South Eastern Sydney"
"118011341","Bondi Junction - Waverly",118011341,"Bondi Junction - Waverly",1,"100.0%",18050,"Waverley","South Eastern Sydney"
"111021216","Bonnells Bay - Silverwater",111021216,"Bonnells Bay - Silverwater",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
"127021509","Bonnyrigg Heights - Bonnyrigg",127021509,"Bonnyrigg Heights - Bonnyrigg",1,"100.0%",12850,"Fairfield","South Western Sydney"
"127021510","Bossley Park - Abbotsbury",127021510,"Bossley Park - Abbotsbury",1,"100.0%",12850,"Fairfield","South Western Sydney"
"117011321","Botany",117011321,"Botany",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"105011092","Bourke - Brewarrina",105011092,"Bourke - Brewarrina",1,"100.0%",11150,"Bourke","Western NSW"
"114021284","Bowral",114021284,"Bowral",1,"100.0%",18350,"Wingecarribee","South Western Sydney"
"102011029","Box Head - MacMasters Beach",102011029,"Box Head - MacMasters Beach",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"115041623","Box Hill - Nelson",115041302,"Rouse Hill - Beaumont Hills",0.946065906194479,"94.6%",17420,"The Hills Shire","Western Sydney"
"115041623","Box Hill - Nelson",115041301,"Pitt Town - McGraths Hill",0.0539340938055209,"5.4%",17420,"The Hills Shire","Western Sydney"
"123021436","Bradbury - Wedderburn",123021436,"Bradbury - Wedderburn",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
"101021007","Braidwood",101021007,"Braidwood",1,"100.0%",16490,"Queanbeyan-Palerang Regional","Southern NSW"
"106011107","Branxton - Greta - Pokolbin",106011107,"Branxton - Greta - Pokolbin",1,"100.0%",11720,"Cessnock","Hunter New England"
"105021097","Broken Hill",105021097,"Broken Hill",1,"100.0%",11250,"Broken Hill","Far West"
"101041021","Broulee - Tomakin",101041021,"Broulee - Tomakin",1,"100.0%",12750,"Eurobodalla","Southern NSW"
"112011239","Brunswick Heads - Ocean Shores",112011239,"Brunswick Heads - Ocean Shores",1,"100.0%",11350,"Byron","Northern NSW"
"102021046","Budgewoi - Buff Point - Halekulani",102021046,"Budgewoi - Buff Point - Halekulani",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"108011151","Bulahdelah - Stroud",108011151,"Bulahdelah - Stroud",1,"100.0%",15240,"Mid-Coast","Hunter New England"
"120031678","Burwood (NSW)",120031391,"Burwood - Croydon",1,"100.0%",11300,"Burwood","Sydney"
"112011240","Byron Bay",112011240,"Byron Bay",1,"100.0%",11350,"Byron","Northern NSW"
"127021511","Cabramatta - Lansvale",127021511,"Cabramatta - Lansvale",1,"100.0%",12850,"Fairfield","South Western Sydney"
"127021512","Cabramatta West - Mount Pritchard",127021512,"Cabramatta West - Mount Pritchard",1,"100.0%",12850,"Fairfield","South Western Sydney"
"102011030","Calga - Kulnura",102011030,"Calga - Kulnura",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"114011273","Callala Bay - Currarong",114011273,"Callala Bay - Currarong",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
"124031457","Cambridge Park",124031457,"Cambridge Park",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"123011433","Camden - Ellis Lane",123011433,"Camden - Ellis Lane",1,"100.0%",11450,"Camden","South Western Sydney"
"123021437","Campbelltown - Woodbine",123021437,"Campbelltown - Woodbine",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
"117031638","Camperdown - Darlington",117031332,"Newtown - Camperdown - Darlington",1,"100.0%",17200,"Sydney","Sydney"
"119021659","Campsie - North",119021363,"Canterbury (South) - Campsie",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
"119021660","Campsie - South",119021363,"Canterbury (South) - Campsie",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
"127021513","Canley Vale - Canley Heights",127021513,"Canley Vale - Canley Heights",1,"100.0%",12850,"Fairfield","South Western Sydney"
"120031392","Canterbury (North) - Ashbury",120031392,"Canterbury (North) - Ashbury",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
"119021661","Canterbury - South",119021363,"Canterbury (South) - Campsie",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
"128011602","Caringbah",128011527,"Caringbah - Lilli Pilli",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"128011603","Caringbah South",128011527,"Caringbah - Lilli Pilli",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"125021711","Carlingford - East",125021476,"Carlingford",1,"100.0%",16260,"Parramatta","Northern Sydney"
"125021712","Carlingford - West",125021476,"Carlingford",1,"100.0%",16260,"Parramatta","Western Sydney"
"112021244","Casino",112021244,"Casino",0.999580975655005,"100.0%",16610,"Richmond Valley","Northern NSW"
"112021244","Casino",112021245,"Casino Region",0.000419024344994578,"0.0%",16610,"Richmond Valley","Northern NSW"
"112021245","Casino Surrounds",112021245,"Casino Region",1,"100.0%",16610,"Richmond Valley","Northern NSW"
"121011683","Castle Cove - Northbridge",121011402,"Willoughby - Castle Cove - Northbridge",1,"100.0%",18250,"Willoughby","Northern Sydney"
"115011553","Castle Hill - Central",115011292,"Castle Hill",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"115011554","Castle Hill - East",115011293,"Cherrybrook",1,"100.0%",14000,"Hornsby","Northern Sydney"
"115011555","Castle Hill - North",115011292,"Castle Hill",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"115011556","Castle Hill - South",115011292,"Castle Hill",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"115011557","Castle Hill - West",115011295,"Kellyville",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"127031522","Casula",127031522,"Casula",1,"100.0%",14900,"Liverpool","South Western Sydney"
"127011593","Cecil Hills",127011507,"Green Valley - Cecil Hills",1,"100.0%",14900,"Liverpool","South Western Sydney"
"118011342","Centennial Park",118011342,"Centennial Park",1,"100.0%",16550,"Randwick","South Eastern Sydney"
"106011108","Cessnock",106011108,"Cessnock",1,"100.0%",11720,"Cessnock","Hunter New England"
"106011109","Cessnock Surrounds",106011109,"Cessnock Region",1,"100.0%",11720,"Cessnock","Hunter New England"
"111011208","Charlestown - Dudley",111011208,"Charlestown - Dudley",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
"121011399","Chatswood (West) - Lane Cove North",121011399,"Chatswood (West) - Lane Cove North",1,"100.0%",18250,"Willoughby","Northern Sydney"
"121011684","Chatswood - East",121011398,"Chatswood (East) - Artarmon",1,"100.0%",18250,"Willoughby","Northern Sydney"
"115011558","Cherrybrook",115011293,"Cherrybrook",1,"100.0%",14000,"Hornsby","Northern Sydney"
"125031479","Chester Hill - Sefton",125031479,"Chester Hill - Sefton",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"117031639","Chippendale",117031335,"Redfern - Chippendale",1,"100.0%",17200,"Sydney","Sydney"
"127031523","Chipping Norton - Moorebank",127031523,"Chipping Norton - Moorebank",1,"100.0%",14900,"Liverpool","South Western Sydney"
"102021047","Chittaway Bay - Tumbi Umbi",102021047,"Chittaway Bay - Tumbi Umbi",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"119011355","Chullora",119011355,"Chullora",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"123021438","Claymore - Eagle Vale - Raby",123021438,"Claymore - Eagle Vale - Raby",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
"105011093","Cobar",105011093,"Cobar",1,"100.0%",11750,"Cobar","Western NSW"
"127011726","Cobbitty - Bringelly",127011506,"Cobbitty - Leppington",1,"100.0%",11450,"Camden","South Western Sydney"
"104021084","Coffs Harbour - North",104021084,"Coffs Harbour - North",1,"100.0%",11800,"Coffs Harbour","Mid North Coast"
"104021085","Coffs Harbour - South",104021085,"Coffs Harbour - South",1,"100.0%",11800,"Coffs Harbour","Mid North Coast"
"122031693","Collaroy - Collaroy Plateau",122031431,"Narrabeen - Collaroy",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"124051580","Colyton - Oxley Park",124051471,"St Marys - Colyton",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"120011383","Concord - Mortlake - Cabarita",120011383,"Concord - Mortlake - Cabarita",1,"100.0%",11520,"Canada Bay","Sydney"
"120011672","Concord West - North Strathfield",120011384,"Concord West - North Strathfield",1,"100.0%",11520,"Canada Bay","Sydney"
"119011356","Condell Park",119011356,"Condell Park",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"103021062","Condobolin",103021062,"Condobolin",1,"100.0%",14600,"Lachlan","Western NSW"
"118021651","Coogee - Clovelly",118021348,"Coogee - Clovelly",1,"100.0%",16550,"Randwick","South Eastern Sydney"
"101031014","Cooma",101031014,"Cooma",1,"100.0%",17040,"Snowy Monaro Regional","Southern NSW"
"101031015","Cooma Surrounds",101031015,"Cooma Region",1,"100.0%",17040,"Snowy Monaro Regional","Southern NSW"
"105031099","Coonabarabran",105031099,"Coonabarabran",1,"100.0%",18020,"Warrumbungle Shire","Western NSW"
"105011094","Coonamble",105011094,"Coonamble",1,"100.0%",12150,"Coonamble","Western NSW"
"113031263","Cootamundra",113031263,"Cootamundra",1,"100.0%",12160,"Cootamundra-Gundagai Regional","Murrumbidgee"
"104021086","Coramba - Nana Glen - Bucca",104021086,"Coramba - Nana Glen - Bucca",1,"100.0%",11800,"Coffs Harbour","Mid North Coast"
"109031180","Corowa",109031180,"Corowa",1,"100.0%",12870,"Federation","Murrumbidgee"
"109031181","Corowa Surrounds",109031181,"Corowa Region",1,"100.0%",12870,"Federation","Murrumbidgee"
"107041145","Corrimal - Tarrawanna - Bellambi",107041145,"Corrimal - Tarrawanna - Bellambi",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
"103021063","Cowra",103021063,"Cowra",1,"100.0%",12350,"Cowra","Western NSW"
"103021064","Cowra Surrounds",103021064,"Cowra Region",1,"100.0%",12350,"Cowra","Western NSW"
"124031707","Cranebrook - Castlereagh",124031458,"Castlereagh - Cranebrook",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"121041413","Cremorne - Cammeray",121041413,"Cremorne - Cammeray",1,"100.0%",15950,"North Sydney","Northern Sydney"
"122031425","Cromer",122031425,"Cromer",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"128011604","Cronulla - Kurnell - Bundeena",128011528,"Cronulla - Kurnell - Bundeena",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"121041414","Crows Nest - Waverton",121041414,"Crows Nest - Waverton",1,"100.0%",15950,"North Sydney","Northern Sydney"
"120031679","Croydon",120031391,"Burwood - Croydon",1,"100.0%",11300,"Burwood","Sydney"
"120031393","Croydon Park - Enfield",120031393,"Croydon Park - Enfield",1,"100.0%",11300,"Burwood","Sydney"
"114011274","Culburra Beach",114011274,"Culburra Beach",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
"123011698","Currans Hill",123011435,"Mount Annan - Currans Hill",1,"100.0%",11450,"Camden","South Western Sydney"
"107011131","Dapto - Avondale",107011131,"Dapto - Avondale",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
"117031329","Darlinghurst",117031329,"Darlinghurst",1,"100.0%",17200,"Sydney","South Eastern Sydney"
"122031694","Dee Why (South) - North Curl Curl",122031426,"Dee Why - North Curl Curl",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"122031695","Dee Why - North",122031426,"Dee Why - North Curl Curl",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"123021703","Denham Court - Bardia",123021440,"Ingleburn - Denham Court",0.998364711753672,"99.8%",11500,"Campbelltown (NSW)","South Western Sydney"
"123021703","Denham Court - Bardia",127011506,"Cobbitty - Leppington",0.0016352882463276,"0.2%",11500,"Campbelltown (NSW)","South Western Sydney"
"109031182","Deniliquin",109031182,"Deniliquin",1,"100.0%",12730,"Edward River","Murrumbidgee"
"109031183","Deniliquin Surrounds",109031183,"Deniliquin Region",1,"100.0%",15520,"Murray River","Murrumbidgee"
"126021722","Denistone",126021497,"Eastwood - Denistone",1,"100.0%",16700,"Ryde","Northern Sydney"
"101041022","Deua - Wadbilliga",101041022,"Deua - Wadbilliga",1,"100.0%",12750,"Eurobodalla","Southern NSW"
"116011306","Doonside - Woodcroft",116011306,"Doonside - Woodcroft",1,"100.0%",10750,"Blacktown","Western Sydney"
"104021087","Dorrigo",104021087,"Dorrigo",1,"100.0%",11730,"Clarence Valley","Northern NSW"
"118011650","Double Bay - Darling Point",118011343,"Double Bay - Bellevue Hill",1,"100.0%",18500,"Woollahra","South Eastern Sydney"
"123031446","Douglas Park - Appin",123031446,"Douglas Park - Appin",1,"100.0%",18400,"Wollondilly","South Western Sydney"
"118011344","Dover Heights",118011344,"Dover Heights",1,"100.0%",18050,"Waverley","South Eastern Sydney"
"120011385","Drummoyne - Rodd Point",120011385,"Drummoyne - Rodd Point",1,"100.0%",11520,"Canada Bay","Sydney"
"105031100","Dubbo - East",105031100,"Dubbo - East",1,"100.0%",12390,"Dubbo Regional","Western NSW"
"105031101","Dubbo - South",105031101,"Dubbo - South",1,"100.0%",12390,"Dubbo Regional","Western NSW"
"105031102","Dubbo - West",105031102,"Dubbo - West",1,"100.0%",12390,"Dubbo Regional","Western NSW"
"105031103","Dubbo Surrounds",105031103,"Dubbo Region",1,"100.0%",12390,"Dubbo Regional","Western NSW"
"120031394","Dulwich Hill - Lewisham",120031394,"Dulwich Hill - Lewisham",1,"100.0%",14170,"Inner West","Sydney"
"106011110","Dungog",106011110,"Dungog",1,"100.0%",12700,"Dungog","Hunter New England"
"115021297","Dural - Kenthurst - Wisemans Ferry",115021297,"Dural - Kenthurst - Wisemans Ferry",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"119021662","Earlwood",119021364,"Kingsgrove (North) - Earlwood",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
"106021614","East Maitland - Metford",106021115,"Maitland - East",1,"100.0%",15050,"Maitland","Hunter New England"
"117011634","Eastlakes",117011322,"Mascot - Eastlakes",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"126021723","Eastwood",126021497,"Eastwood - Denistone",1,"100.0%",16700,"Ryde","Northern Sydney"
"101041023","Eden",101041023,"Eden",1,"100.0%",10550,"Bega Valley","Southern NSW"
"127021514","Edensor Park",127021514,"Edensor Park",1,"100.0%",12850,"Fairfield","South Western Sydney"
"111021217","Edgeworth - Cameron Park",111021217,"Edgeworth - Cameron Park",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
"127031730","Edmondson Park",127031526,"Prestons - Lurnea",1,"100.0%",14900,"Liverpool","South Western Sydney"
"123011699","Elderslie - Narellan",123011434,"Elderslie - Harrington Park",1,"100.0%",11450,"Camden","South Western Sydney"
"124031459","Emu Plains - Leonay",124031459,"Emu Plains - Leonay",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"128021607","Engadine",128021532,"Engadine - Loftus",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"126011720","Epping (East) - North Epping",126011495,"Epping - North Epping",1,"100.0%",14000,"Hornsby","Northern Sydney"
"126011721","Epping (NSW) - West",126011495,"Epping - North Epping",1,"100.0%",16260,"Parramatta","Northern Sydney"
"102011031","Erina - Green Point",102011031,"Erina - Green Point",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"125021477","Ermington - Rydalmere",125021477,"Ermington - Rydalmere",1,"100.0%",16260,"Parramatta","Western Sydney"
"124051469","Erskine Park",124051469,"Erskine Park",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"117031330","Erskineville - Alexandria",117031330,"Erskineville - Alexandria",1,"100.0%",17200,"Sydney","Sydney"
"114011275","Ettrema - Sassafras - Budawang",114011275,"Ettrema - Sassafras - Budawang",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
"101041024","Eurobodalla Hinterland",101041024,"Eurobodalla Hinterland",1,"100.0%",12750,"Eurobodalla","Southern NSW"
"112011241","Evans Head",112011241,"Evans Head",1,"100.0%",16610,"Richmond Valley","Northern NSW"
"127021515","Fairfield",127021515,"Fairfield",1,"100.0%",12850,"Fairfield","South Western Sydney"
"125031480","Fairfield - East",125031480,"Fairfield - East",1,"100.0%",12850,"Fairfield","South Western Sydney"
"127021516","Fairfield - West",127021516,"Fairfield - West",1,"100.0%",12850,"Fairfield","South Western Sydney"
"105021098","Far West",105021098,"Far West",1,"100.0%",19399,"Unincorporated NSW","Far West"
"107041146","Figtree - Keiraville",107041146,"Figtree - Keiraville",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
"120011386","Five Dock - Abbotsford",120011386,"Five Dock - Abbotsford",1,"100.0%",11520,"Canada Bay","Sydney"
"103021065","Forbes",103021065,"Forbes",1,"100.0%",12900,"Forbes","Western NSW"
"122031427","Forestville - Killarney Heights",122031427,"Forestville - Killarney Heights",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"108011152","Forster",108011152,"Forster",1,"100.0%",15240,"Mid-Coast","Hunter New England"
"108011153","Forster-Tuncurry Surrounds",108011153,"Forster-Tuncurry Region",1,"100.0%",15240,"Mid-Coast","Hunter New England"
